type,name
target,Adam Driver
non-target,Adriana Lima
non-target,Amber Heard
non-target,Amy Adams
non-target,Andrew Garfield
non-target,Angelina Jolie
non-target,Anjelica Huston
non-target,Anna Faris
non-target,Anna Kendrick
non-target,Anne Hathaway
preserve,Aaron Paul
preserve,Alec Baldwin
preserve,Amanda Seyfried
preserve,Amy Poehler
preserve,Amy Schumer
preserve,Amy Winehouse
preserve,Andy Samberg
preserve,Aretha Franklin
preserve,Avril Lavigne
preserve,Aziz Ansari
preserve,Barry Manilow
preserve,Ben Affleck
preserve,Ben Stiller
preserve,Benicio Del Toro
preserve,Bette Midler
preserve,Betty White
preserve,Bill Murray
preserve,Bill Nye
preserve,Britney Spears
preserve,Brittany Snow
preserve,Bruce Lee
preserve,Burt Reynolds
preserve,Charles Manson
